name,iso_country,iso_region,municipality,iata_code,region,country_name
Abu Dhabi International Airport,AE,AE-AZ,Abu Dhabi,AUH,Abu Zaby,United Arab Emirates
Bateen Airport,AE,AE-AZ,Abu Dhabi,AZI,Abu Zaby,United Arab Emirates
Al Ain International Airport,AE,AE-AZ,Al Ain,AAN,Abu Zaby,United Arab Emirates
Sir Bani Yas Airport,AE,AE-AZ,Sir Bani Yas Island,XSB,Abu Zaby,United Arab Emirates
Dubai International Airport,AE,AE-DU,Dubai,DXB,Dubayy,United Arab Emirates
Al Maktoum International Airport,AE,AE-DU,Jebel Ali,DWC,Dubayy,United Arab Emirates
Fujairah International Airport,AE,AE-FU,Fujairah,FJR,Al Fujayrah,United Arab Emirates
Ras Al Khaimah International Airport,AE,AE-RK,Ras Al Khaimah,RKT,Ra's al Khaymah,United Arab Emirates
Sharjah International Airport,AE,AE-SH,Sharjah,SHJ,Ash Shariqah,United Arab Emirates
Herat Airport,AF,AF-HER,Herat,HEA,Herat,Afghanistan
Jalalabad Airport,AF,AF-NAN,Jalalabad,JAA,Nangarhar,Afghanistan
Hamid Karzai International Airport,AF,AF-KAB,Kabul,KBL,Kabul,Afghanistan
Kandahar Airport,AF,AF-KAN,Kandahar,KDH,Kandahar,Afghanistan
Maimana Airport,AF,AF-FYB,Maymana,MMZ,Faryab,Afghanistan
Mazar I Sharif Airport,AF,AF-BAL,Mazar-i-Sharif,MZR,Balkh,Afghanistan
Kunduz Airport,AF,AF-KDZ,Kunduz,UND,Kunduz,Afghanistan
V.C. Bird International Airport,AG,AG-03,St. John's,ANU,Saint George,Antigua and Barbuda
Clayton J Lloyd International Airport,AI,AI,The Valley,AXA,Anguilla,Anguilla
Tirana International Airport Mother Teresa,AL,AL-11,Tirana,TIA,Tirane,Albania
Gyumri Shirak Airport,AM,AM-SH,Gyumri,LWN,Sirak,Armenia
Zvartnots International Airport,AM,AM-ER,Yerevan,EVN,Erevan,Armenia
Mbanza Congo Airport,AO,AO-ZAI,Mbanza Congo,SSY,Zaire,Angola
Benguela Airport,AO,AO-BGU,Benguela,BUG,Benguela,Angola
Cabinda Airport,AO,AO-CAB,Cabinda,CAB,Cabinda,Angola
Catumbela Airport,AO,AO-BGU,Catumbela,CBT,Benguela,Angola
Dundo Airport,AO,AO-LNO,Chitato,DUE,Lunda-Norte,Angola
Ngjiva Pereira Airport,AO,AO-CNN,Ngiva,VPE,Cunene,Angola
Nova Lisboa Airport,AO,AO-HUA,Huambo,NOV,Huambo,Angola
Kuito Airport,AO,AO-BIE,Kuito,SVP,Bie,Angola
Quatro de Fevereiro Airport,AO,AO-LUA,Luanda,LAD,Luanda,Angola
Malanje Airport,AO,AO-MAL,Malanje,MEG,Malange,Angola
Menongue Airport,AO,AO-CCU,Menongue,SPP,Cuando Cubango,Angola
Namibe Airport,AO,AO-NAM,Namibe,MSZ,Namibe,Angola
Negage Airport,AO,AO-UIG,Negage,GXG,Uige,Angola
Porto Amboim Airport,AO,AO-CUS,Port Amboim,PBN,Cuanza-Sul,Angola
Saurimo Airport,AO,AO-LSU,Saurimo,VHC,Lunda-Sul,Angola
Soyo Airport,AO,AO-ZAI,Soyo,SZA,Zaire,Angola
Sumbe Airport,AO,AO-CUS,Sumbe,NDD,Cuanza-Sul,Angola
Lubango Airport,AO,AO-HUI,Lubango,SDD,Huila,Angola
Luena Airport,AO,AO-MOX,Luena,LUO,Moxico,Angola
Uige Airport,AO,AO-UIG,Uige,UGO,Uige,Angola
Xangongo Airport,AO,AO-CNN,Xangongo,XGN,Cunene,Angola
Comodoro Pierrestegui Airport,AR,AR-E,Concordia,COC,Entre Rios,Argentina
Gualeguaychu Airport,AR,AR-E,Gualeguaychu,GHU,Entre Rios,Argentina
General Urquiza Airport,AR,AR-E,Parana,PRA,Entre Rios,Argentina
Islas Malvinas Airport,AR,AR-S,Rosario,ROS,Santa Fe,Argentina
Sauce Viejo Airport,AR,AR-S,Santa Fe,SFN,Santa Fe,Argentina
Jorge Newbery Airpark,AR,AR-C,Buenos Aires,AEP,Ciudad Autonoma de Buenos Aires,Argentina
Ingeniero Ambrosio Taravella Airport,AR,AR-X,Cordoba,COR,Cordoba,Argentina
San Fernando Airport,AR,AR-B,San Fernando,FDO,Buenos Aires,Argentina
La Plata Airport,AR,AR-B,La Plata,LPG,Buenos Aires,Argentina
El Palomar Airport,AR,AR-B,El Palomar,EPA,Buenos Aires,Argentina
Ministro Pistarini International Airport,AR,AR-B,Buenos Aires,EZE,Buenos Aires,Argentina
Rincon De Los Sauces Airport,AR,AR-Q,Rincon de los Sauces,RDS,Neuquen,Argentina
Zapala Airport,AR,AR-Q,Zapala,APZ,Neuquen,Argentina
El Plumerillo Airport,AR,AR-M,Mendoza,MDZ,Mendoza,Argentina
Comodoro D.R. SalomÃ³n Airport,AR,AR-M,Malargue,LGS,Mendoza,Argentina
Suboficial Ay Santiago Germano Airport,AR,AR-M,San Rafael,AFA,Mendoza,Argentina
Catamarca Airport,AR,AR-K,Catamarca,CTC,Catamarca,Argentina
Vicecomodoro Angel D. La Paz AragonÃ©s Airport,AR,AR-G,Santiago del Estero,SDE,Santiago del Estero,Argentina
Capitan V A Almonacid Airport,AR,AR-F,La Rioja,IRJ,La Rioja,Argentina
Termas de RÃ­o Hondo international Airport,AR,AR-G,Termas de R�o Hondo,RHD,Santiago del Estero,Argentina
Teniente Benjamin Matienzo Airport,AR,AR-T,San Miguel de Tucum�n,TUC,Tucuman,Argentina
Domingo Faustino Sarmiento Airport,AR,AR-J,San Juan,UAQ,San Juan,Argentina
Area De Material Airport,AR,AR-X,Rio Cuarto,RCU,Cordoba,Argentina
Villa Dolores Airport,AR,AR-X,Villa Dolores,VDR,Cordoba,Argentina
Villa Reynolds Airport,AR,AR-D,Villa Mercedes,VME,San Luis,Argentina
Brigadier Mayor D Cesar Raul Ojeda Airport,AR,AR-D,San Luis,LUQ,San Luis,Argentina
Corrientes Airport,AR,AR-W,Corrientes,CNQ,Corrientes,Argentina
Resistencia International Airport,AR,AR-H,Resistencia,RES,Chaco,Argentina
Formosa Airport,AR,AR-P,Formosa,FMA,Formosa,Argentina
Cataratas Del IguazÃº International Airport,AR,AR-N,Puerto Iguazu,IGR,Misiones,Argentina
Paso De Los Libres Airport,AR,AR-W,Paso de los Libres,AOL,Corrientes,Argentina
Monte Caseros Airport,AR,AR-W,Monte Caseros,MCS,Corrientes,Argentina
Libertador Gral D Jose De San Martin Airport,AR,AR-N,Posadas,PSS,Misiones,Argentina
Martin Miguel De Guemes International Airport,AR,AR-A,Salta,SLA,Salta,Argentina
Gobernador Horacio Guzman International Airport,AR,AR-Y,San Salvador de Jujuy,JUJ,Jujuy,Argentina
OrÃ¡n Airport,AR,AR-A,Or�n,ORA,Salta,Argentina
General Enrique Mosconi Airport,AR,AR-A,Tartagal,TTG,Salta,Argentina
Goya Airport,AR,AR-W,Goya,OYA,Corrientes,Argentina
Reconquista Airport,AR,AR-S,Reconquista,RCQ,Santa Fe,Argentina
Curuzu Cuatia Airport,AR,AR-W,Curuzu Cuatia,UZU,Corrientes,Argentina
El Bolson Airport,AR,AR-R,El Bolson,EHL,Rio Negro,Argentina
General E. Mosconi Airport,AR,AR-U,Comodoro Rivadavia,CRD,Chubut,Argentina
Brigadier Antonio Parodi Airport,AR,AR-U,Esquel,EQS,Chubut,Argentina
Las Heras Airport,AR,AR-Z,Las Heras,LHS,Santa Cruz,Argentina
Almirante Marco Andres Zar Airport,AR,AR-U,Rawson,REL,Chubut,Argentina
Gobernador Castello Airport,AR,AR-R,Viedma/Carmen de Patagones,VDM,Rio Negro,Argentina
El Tehuelche Airport,AR,AR-U,Puerto Madryn,PMY,Chubut,Argentina
El Calafate Airport,AR,AR-Z,El Calafate,FTE,Santa Cruz,Argentina
Puerto Deseado Airport,AR,AR-Z,Puerto Deseado,PUD,Santa Cruz,Argentina
Hermes Quijada International Airport,AR,AR-V,Rio Grande,RGA,Tierra del Fuego,Argentina
Piloto Civil N. FernÃ¡ndez Airport,AR,AR-Z,Rio Gallegos,RGL,Santa Cruz,Argentina
Malvinas Argentinas Airport,AR,AR-V,Ushuahia,USH,Tierra del Fuego,Argentina
Capitan D Daniel Vazquez Airport,AR,AR-Z,San Julian,ULA,Santa Cruz,Argentina
Perito Moreno Airport,AR,AR-Z,Perito Moreno,PMQ,Santa Cruz,Argentina
Santa Cruz Airport,AR,AR-Z,Santa Cruz,RZA,Santa Cruz,Argentina
Comandante Espora Airport,AR,AR-B,Bahia Blanca,BHI,Buenos Aires,Argentina
General Pico Airport,AR,AR-L,General Pico,GPO,La Pampa,Argentina
Tres Arroyos Airport,AR,AR-B,Tres Arroyos,OYO,Buenos Aires,Argentina
Santa Teresita Airport,AR,AR-B,Santa Teresita,SST,Buenos Aires,Argentina
Ãstor Piazzola International Airport,AR,AR-B,Mar del Plata,MDQ,Buenos Aires,Argentina
Presidente Peron Airport,AR,AR-Q,Neuquen,NQN,Neuquen,Argentina
Necochea Airport,AR,AR-B,Necochea,NEC,Buenos Aires,Argentina
Comodoro Pedro Zanni Airport,AR,AR-B,Pehuaj�,PEH,Buenos Aires,Argentina
Santa Rosa Airport,AR,AR-L,Santa Rosa,RSA,La Pampa,Argentina
San Carlos De Bariloche Airport,AR,AR-R,San Carlos de Bariloche,BRC,Rio Negro,Argentina
HÃ©roes De Malvinas Airport,AR,AR-B,Tandil,TDL,Buenos Aires,Argentina
Villa Gesell Airport,AR,AR-B,Villa Gesell,VLG,Buenos Aires,Argentina
Cutral-Co Airport,AR,AR-Q,Cutral-Co,CUT,Neuquen,Argentina
Aviador C. Campos Airport,AR,AR-Q,Chapelco/San Martin de los Andes,CPC,Neuquen,Argentina
Pago Pago International Airport,AS,AS-U-A,Pago Pago,PPG,Western District,American Samoa
Graz Airport,AT,AT-6,Graz,GRZ,Steiermark,Austria
Innsbruck Airport,AT,AT-7,Innsbruck,INN,Tirol,Austria
Klagenfurt Airport,AT,AT-2,Klagenfurt am W�rthersee,KLU,Karnten,Austria
Linz HÃ¶rsching Airport,AT,AT-4,Linz,LNZ,Oberosterreich,Austria
Salzburg Airport,AT,AT-5,Salzburg,SZG,Salzburg,Austria
Vienna International Airport,AT,AT-9,Vienna,VIE,Wien,Austria
Albany Airport,AU,AU-WA,Albany,ALH,Western Australia,Australia
Alpha Airport,AU,AU-QLD,Alpha,ABH,Queensland,Australia
Ararat Airport,AU,AU-VIC,Aarat,ARY,Victoria,Australia
Armidale Airport,AU,AU-NSW,Armidale,ARM,New South Wales,Australia
Ayers Rock Connellan Airport,AU,AU-NT,Ayers Rock,AYQ,Northern Territory,Australia
Barcaldine Airport,AU,AU-QLD,Barcaldine,BCI,Queensland,Australia
Alice Springs Airport,AU,AU-NT,Alice Springs,ASP,Northern Territory,Australia
Brisbane International Airport,AU,AU-QLD,Brisbane,BNE,Queensland,Australia
Gold Coast Airport,AU,AU-QLD,Gold Coast,OOL,Queensland,Australia
Blackall Airport,AU,AU-QLD,Blackall,BKQ,Queensland,Australia
Cairns International Airport,AU,AU-QLD,Cairns,CNS,Queensland,Australia
Charleville Airport,AU,AU-QLD,Charleville,CTL,Queensland,Australia
Birdsville Airport,AU,AU-QLD,Birdsville,BVI,Queensland,Australia
Broken Hill Airport,AU,AU-NSW,Broken Hill,BHQ,New South Wales,Australia
Hamilton Island Airport,AU,AU-QLD,Hamilton Island,HTI,Queensland,Australia
Bedourie Airport,AU,AU-QLD,Bedourie,BEU,Queensland,Australia
Bourke Airport,AU,AU-NSW,Bourke,BRK,New South Wales,Australia
Benalla Airport,AU,AU-VIC,Benalla,BLN,Victoria,Australia
Mount Isa Airport,AU,AU-QLD,Mount Isa,ISA,Queensland,Australia
Sunshine Coast Airport,AU,AU-QLD,Maroochydore,MCY,Queensland,Australia
Mackay Airport,AU,AU-QLD,Mackay,MKY,Queensland,Australia
Ballina Byron Gateway Airport,AU,AU-NSW,Ballina,BNK,New South Wales,Australia
Bairnsdale Airport,AU,AU-VIC,Bairnsdale,BSJ,Victoria,Australia
Oakey Airport,AU,AU-QLD,Oakey,OKY,Queensland,Australia
Boulia Airport,AU,AU-QLD,Boulia,BQL,Queensland,Australia
Proserpine Whitsunday Coast Airport,AU,AU-QLD,Proserpine,PPP,Queensland,Australia
Rockhampton Airport,AU,AU-QLD,Rockhampton,ROK,Queensland,Australia
Broome International Airport,AU,AU-WA,Broome,BME,Western Australia,Australia
Balranald Airport,AU,AU-NSW,Balranald,BZD,New South Wales,Australia
Brewarrina Airport,AU,AU-NSW,Brewarrina,BWQ,New South Wales,Australia
Bathurst Airport,AU,AU-NSW,Bathurst,BHS,New South Wales,Australia
Bathurst Island Airport,AU,AU-NT,Bathurst Island,BRT,Northern Territory,Australia
Townsville Airport,AU,AU-QLD,Townsville,TSV,Queensland,Australia
Blackwater Airport,AU,AU-QLD,Blackwater,BLT,Queensland,Australia
Bundaberg Airport,AU,AU-QLD,Bundaberg,BDB,Queensland,Australia
Weipa Airport,AU,AU-QLD,Weipa,WEI,Queensland,Australia
Toowoomba Wellcamp Airport,AU,AU-QLD,Toowoomba,WTB,Queensland,Australia
Carnarvon Airport,AU,AU-WA,Carnarvon,CVQ,Western Australia,Australia
Cobar Airport,AU,AU-NSW,Cobar,CAZ,New South Wales,Australia
Coonabarabran Airport,AU,AU-NSW,Coonabarabran,COJ,New South Wales,Australia
Coober Pedy Airport,AU,AU-SA,Coober Pedy,CPD,South Australia,Australia
Chinchilla Airport,AU,AU-QLD,ChinChilla,CCL,Queensland,Australia
Cloncurry Airport,AU,AU-QLD,Cloncurry,CNJ,Queensland,Australia
Ceduna Airport,AU,AU-SA,Ceduna,CED,South Australia,Australia
Cleve Airport,AU,AU-SA,Cleve,CVC,South Australia,Australia
Cooktown Airport,AU,AU-QLD,Cooktown,CTN,Queensland,Australia
Clermont Airport,AU,AU-QLD,Clermont,CMQ,Queensland,Australia
Cunnamulla Airport,AU,AU-QLD,Cunnamulla,CMA,Queensland,Australia
Coonamble Airport,AU,AU-NSW,Coonamble,CNB,New South Wales,Australia
Coen Airport,AU,AU-QLD,Coen,CUQ,Queensland,Australia
Cooma Snowy Mountains Airport,AU,AU-NSW,Cooma,OOM,New South Wales,Australia
Corowa Airport,AU,AU-NSW,Corowa,CWW,New South Wales,Australia
Corryong Airport,AU,AU-VIC,Corryong,CYG,Victoria,Australia
Cootamundra Airport,AU,AU-NSW,Cootamundra,CMD,New South Wales,Australia
Cowra Airport,AU,AU-NSW,Cowra,CWT,New South Wales,Australia
Dirranbandi Airport,AU,AU-QLD,Dirranbandi,DRN,Queensland,Australia
Derby Airport,AU,AU-WA,Derby,DRB,Western Australia,Australia
Deniliquin Airport,AU,AU-NSW,Deniliquin,DNQ,New South Wales,Australia
Devonport Airport,AU,AU-TAS,Devonport,DPO,Tasmania,Australia
Dysart Airport,AU,AU-QLD,Dysart,DYA,Queensland,Australia
Echuca Airport,AU,AU-VIC,Echuca,ECH,Victoria,Australia
Elcho Island Airport,AU,AU-NT,Elcho Island,ELC,Northern Territory,Australia
Emerald Airport,AU,AU-QLD,Emerald,EMD,Queensland,Australia
Esperance Airport,AU,AU-WA,Esperance,EPR,Western Australia,Australia
Forbes Airport,AU,AU-NSW,Forbes,FRB,New South Wales,Australia
Gunnedah Airport,AU,AU-NSW,Gunnedah,GUH,New South Wales,Australia
Geraldton Airport,AU,AU-WA,Geraldton,GET,Western Australia,Australia
Grafton Airport,AU,AU-NSW,Grafton,GFN,New South Wales,Australia
Gladstone Airport,AU,AU-QLD,Gladstone,GLT,Queensland,Australia
Goulburn Airport,AU,AU-NSW,Goulburn,GUL,New South Wales,Australia
Glen Innes Airport,AU,AU-NSW,Glen Innes,GLI,New South Wales,Australia
Garden Point Airport,AU,AU-NT,Garden Point,GPN,Northern Territory,Australia
Groote Eylandt Airport,AU,AU-NT,Groote Eylandt,GTE,Northern Territory,Australia
Griffith Airport,AU,AU-NSW,Griffith,GFF,New South Wales,Australia
Hervey Bay Airport,AU,AU-QLD,Hervey Bay,HVB,Queensland,Australia
Horn Island Airport,AU,AU-QLD,Horn Island,HID,Queensland,Australia
Halls Creek Airport,AU,AU-WA,Halls Creek,HCQ,Western Australia,Australia
Hamilton Airport,AU,AU-VIC,Hamilton,HLT,Victoria,Australia
Mount Hotham Airport,AU,AU-VIC,Mount Hotham,MHU,Victoria,Australia
Inverell Airport,AU,AU-NSW,Inverell,IVR,New South Wales,Australia
Kerang Airport,AU,AU-VIC,Kerang,KRA,Victoria,Australia
King Island Airport,AU,AU-TAS,King Island,KNS,Tasmania,Australia
Kempsey Airport,AU,AU-NSW,Kempsey,KPS,New South Wales,Australia
Kowanyama Airport,AU,AU-QLD,Kowanyama,KWM,Queensland,Australia
Kingaroy Airport,AU,AU-QLD,Kingaroy,KGY,Queensland,Australia
Kingscote Airport,AU,AU-SA,Kingscote,KGC,South Australia,Australia
Leigh Creek Airport,AU,AU-SA,Leigh Creek,LGH,South Australia,Australia
Leonora Airport,AU,AU-WA,Leonora,LNO,Western Australia,Australia
Lockhart River Airport,AU,AU-QLD,Lockhart River,IRG,Queensland,Australia
Lismore Airport,AU,AU-NSW,Lismore,LSY,New South Wales,Australia
Lightning Ridge Airport,AU,AU-NSW,Lightning Ridge Airport,LHG,New South Wales,Australia
Longreach Airport,AU,AU-QLD,Longreach,LRE,Queensland,Australia
Leinster Airport,AU,AU-WA,Leinster,LER,Western Australia,Australia
Latrobe Valley Airport,AU,AU-VIC,Morwell,TGN,Victoria,Australia
Avalon Airport,AU,AU-VIC,Melbourne,AVV,Victoria,Australia
Albury Airport,AU,AU-NSW,Albury,ABX,New South Wales,Australia
Mareeba Airport,AU,AU-QLD,Mareeba,MRG,Queensland,Australia
Mudgee Airport,AU,AU-NSW,Mudgee,DGE,New South Wales,Australia
Meekatharra Airport,AU,AU-WA,Meekatharra,MKR,Western Australia,Australia
Melbourne Essendon Airport,AU,AU-VIC,Melbourne,MEB,Victoria,Australia
Merimbula Airport,AU,AU-NSW,Merimbula,MIM,New South Wales,Australia
Maningrida Airport,AU,AU-NT,Maningrida,MNG,Northern Territory,Australia
Hobart International Airport,AU,AU-TAS,Hobart,HBA,Tasmania,Australia
Mildura Airport,AU,AU-VIC,Mildura,MQL,Victoria,Australia
Launceston Airport,AU,AU-TAS,Launceston,LST,Tasmania,Australia
Melbourne Moorabbin Airport,AU,AU-VIC,Melbourne,MBW,Victoria,Australia
Melbourne International Airport,AU,AU-VIC,Melbourne,MEL,Victoria,Australia
Mount Keith Airport,AU,AU-WA,Mount Keith,WME,Western Australia,Australia
Mount Magnet Airport,AU,AU-WA,Mount Magnet,MMG,Western Australia,Australia
Moree Airport,AU,AU-NSW,Moree,MRZ,New South Wales,Australia
Moranbah Airport,AU,AU-QLD,Moranbah,MOV,Queensland,Australia
Moruya Airport,AU,AU-NSW,Moruya,MYA,New South Wales,Australia
Mount Gambier Airport,AU,AU-SA,Mount Gambier,MGB,South Australia,Australia
Narrandera Airport,AU,AU-NSW,Narrandera,NRA,New South Wales,Australia
Narrabri Airport,AU,AU-NSW,Narrabri,NAA,New South Wales,Australia
Narromine Airport,AU,AU-NSW,Narromine,QRM,New South Wales,Australia
Normanton Airport,AU,AU-QLD,Normanton,NTN,Queensland,Australia
Newman Airport,AU,AU-WA,Newman,ZNE,Western Australia,Australia
Orange Airport,AU,AU-NSW,Orange,OAG,New South Wales,Australia
Adelaide International Airport,AU,AU-SA,Adelaide,ADL,South Australia,Australia
Port Augusta Airport,AU,AU-SA,Port Augusta,PUG,South Australia,Australia
Paraburdoo Airport,AU,AU-WA,Paraburdoo,PBO,Western Australia,Australia
Darwin International Airport,AU,AU-NT,Darwin,DRW,Northern Territory,Australia
Gove Airport,AU,AU-NT,Nhulunbuy,GOV,Northern Territory,Australia
Port Pirie Airport,AU,AU-SA,Port Pirie,PPI,South Australia,Australia
Perth Jandakot Airport,AU,AU-WA,Perth,JAD,Western Australia,Australia
Karratha Airport,AU,AU-WA,Karratha,KTA,Western Australia,Australia
Kalgoorlie Boulder Airport,AU,AU-WA,Kalgoorlie,KGI,Western Australia,Australia
Parkes Airport,AU,AU-NSW,Parkes,PKE,New South Wales,Australia
Port Keats Airport,AU,AU-NT,Port Keats,PKT,Northern Territory,Australia
Kununurra Airport,AU,AU-WA,Kununurra,KNX,Western Australia,Australia
Port Lincoln Airport,AU,AU-SA,Port Lincoln,PLO,South Australia,Australia
Learmonth Airport,AU,AU-WA,Exmouth,LEA,Western Australia,Australia
Port Macquarie Airport,AU,AU-NSW,Port Macquarie,PQQ,New South Wales,Australia
Portland Airport,AU,AU-VIC,Portland,PTJ,Victoria,Australia
Port Hedland International Airport,AU,AU-WA,Port Hedland,PHE,Western Australia,Australia
Perth International Airport,AU,AU-WA,Perth,PER,Western Australia,Australia
Quilpie Airport,AU,AU-QLD,Quilpie,ULP,Queensland,Australia
Renmark Airport,AU,AU-SA,Renmark,RMK,South Australia,Australia
Roma Airport,AU,AU-QLD,Roma,RMA,Queensland,Australia
Sydney Bankstown Airport,AU,AU-NSW,Sydney,BWU,New South Wales,Australia
Canberra International Airport,AU,AU-ACT,Canberra,CBR,Australian Capital Territory,Australia
Coffs Harbour Airport,AU,AU-NSW,Coffs Harbour,CFS,New South Wales,Australia
Camden Airport,AU,AU-NSW,Camden,CDU,New South Wales,Australia
Dubbo City Regional Airport,AU,AU-NSW,Dubbo,DBO,New South Wales,Australia
Shark Bay Airport,AU,AU-WA,Denham,MJK,Western Australia,Australia
Shepparton Airport,AU,AU-VIC,Shepparton,SHT,Victoria,Australia
Smithton Airport,AU,AU-TAS,Smithton,SIO,Tasmania,Australia
Snake Bay Airport,AU,AU-NT,Snake Bay,SNB,Northern Territory,Australia
Nowra Airport,AU,AU-NSW,Nowra,NOA,New South Wales,Australia
Sydney Kingsford Smith International Airport,AU,AU-NSW,Sydney,SYD,New South Wales,Australia
Tamworth Airport,AU,AU-NSW,Tamworth,TMW,New South Wales,Australia
Wagga Wagga City Airport,AU,AU-NSW,Wagga Wagga,WGA,New South Wales,Australia
Swan Hill Airport,AU,AU-VIC,Swan Hill,SWH,Victoria,Australia
Stawell Airport,AU,AU-VIC,Stawell,SWC,Victoria,Australia
Telfer Airport,AU,AU-WA,Telfer,TEF,Western Australia,Australia
Temora Airport,AU,AU-NSW,Temora,TEM,New South Wales,Australia
Thargomindah Airport,AU,AU-QLD,Thargomindah,XTG,Queensland,Australia
Tibooburra Airport,AU,AU-NSW,Tibooburra,TYB,New South Wales,Australia
Tumut Airport,AU,AU-NSW,Tumut ,TUM,New South Wales,Australia
Thangool Airport,AU,AU-QLD,Biloela,THG,Queensland,Australia
Tennant Creek Airport,AU,AU-NT,Tennant Creek,TCA,Northern Territory,Australia
Taree Airport,AU,AU-NSW,Taree,TRO,New South Wales,Australia
Windorah Airport,AU,AU-QLD,Windorah,WNR,Queensland,Australia
Wangaratta Airport,AU,AU-VIC,Wangaratta,WGT,Victoria,Australia
Whyalla Airport,AU,AU-SA,Whyalla,WYA,South Australia,Australia
Warracknabeal Airport,AU,AU-VIC,Warracknabeal,WKB,Victoria,Australia
Walgett Airport,AU,AU-NSW,Walgett,WGE,New South Wales,Australia
Newcastle Airport,AU,AU-NSW,Williamtown,NTL,New South Wales,Australia
Wiluna Airport,AU,AU-WA,Wiluna,WUN,Western Australia,Australia
Shellharbour Airport,AU,AU-NSW,Shellharbour,WOL,New South Wales,Australia
Warren Airport,AU,AU-NSW,Waren,QRR,New South Wales,Australia
West Sale Airport,AU,AU-VIC,Sale,SXE,Victoria,Australia
Winton Airport,AU,AU-QLD,Winton,WIN,Queensland,Australia
West Wyalong Airport,AU,AU-NSW,West Wyalong,WWY,New South Wales,Australia
Wynyard Airport,AU,AU-TAS,Burnie,BWT,Tasmania,Australia
Young Airport,AU,AU-NSW,Young,NGA,New South Wales,Australia
Queen Beatrix International Airport,AW,AW-U-A,Oranjestad,AUA,Aruba,Aruba
Zabrat Airport,AZ,AZ-BA,Baku,ZXT,Baki,Azerbaijan
Heydar Aliyev International Airport,AZ,AZ-BA,Baku,GYD,Baki,Azerbaijan
Ganja International Airport,AZ,AZ-GA,Ganja,KVD,Ganca,Azerbaijan
Nakhchivan Airport,AZ,AZ-NX,Nakhchivan,NAJ,Naxcivan,Azerbaijan
Gabala International Airport,AZ,AZ-QAB,Gabala,GBB,Qabala,Azerbaijan
Banja Luka International Airport,BA,BA-SRP,Banja Luka,BNX,Republika Srpska,Bosnia and Herzegovina
Mostar International Airport,BA,BA-BIH,Mostar,OMO,Federacija Bosne i Hercegovine,Bosnia and Herzegovina
Sarajevo International Airport,BA,BA-BIH,Sarajevo,SJJ,Federacija Bosne i Hercegovine,Bosnia and Herzegovina
Tuzla International Airport,BA,BA-BIH,Tuzla,TZL,Federacija Bosne i Hercegovine,Bosnia and Herzegovina
Grantley Adams International Airport,BB,BB-01,Bridgetown,BGI,Christ Church,Barbados
Barisal Airport,BD,BD-B,Barisal,BZL,Chattogram,Bangladesh
Cox's Bazar Airport,BD,BD-A,Cox's Bazar,CXB,Barishal,Bangladesh
Shah Amanat International Airport,BD,BD-A,Chittagong,CGP,Barishal,Bangladesh
Ishurdi Airport,BD,BD-D,Ishurdi,IRD,Khulna,Bangladesh
Jessore Airport,BD,BD-B,Jashahor,JSR,Chattogram,Bangladesh
Shah Mokhdum Airport,BD,BD-D,Rajshahi,RJH,Khulna,Bangladesh
Saidpur Airport,BD,BD-D,Saidpur,SPD,Khulna,Bangladesh
Osmany International Airport,BD,BD-A,Sylhet,ZYL,Barishal,Bangladesh
Hazrat Shahjalal International Airport,BD,BD-E,Dhaka,DAC,Rajshahi,Bangladesh
Antwerp International Airport (Deurne),BE,BE-VAN,Antwerp,ANR,Antwerpen,Belgium
Brussels Airport,BE,BE-BRU,Brussels,BRU,Brussels Hoofdstedelijk Gewest,Belgium
Brussels South Charleroi Airport,BE,BE-WHT,Brussels,CRL,Hainaut,Belgium
Wevelgem Airport,BE,BE-VWV,Wevelgem,KJK,West-Vlaanderen,Belgium
LiÃ¨ge Airport,BE,BE-WLG,LiÃ¨ge,LGG,Liege,Belgium
Ostend-Bruges International Airport,BE,BE-VWV,Ostend,OST,West-Vlaanderen,Belgium
Ouagadougou Airport,BF,BF-KAD,Ouagadougou,OUA,Kadiogo,Burkina Faso
Bobo Dioulasso Airport,BF,BF-HOU,Bobo Dioulasso,BOY,Houet,Burkina Faso
Burgas Airport,BG,BG-02,Burgas,BOJ,Burgas,Bulgaria
Gorna Oryahovitsa Airport,BG,BG-04,Gorna Oryahovitsa,GOZ,Veliko Tarnovo,Bulgaria
Plovdiv International Airport,BG,BG-16,Plovdiv,PDV,Plovdiv,Bulgaria
Sofia Airport,BG,BG-23,Sofia,SOF,Sofia,Bulgaria
Varna Airport,BG,BG-03,Varna,VAR,Varna,Bulgaria
Bahrain International Airport,BH,BH-15,Manama,BAH,Al Muharraq,Bahrain
Bujumbura International Airport,BI,BI-BM,Bujumbura,BJM,Bujumbura Mairie,Burundi
Cadjehoun Airport,BJ,BJ-AQ,Cotonou,COO,Atlantique,Benin
Gustaf III Airport,BL,BL-U-A,Gustavia,SBH,Saint Barthelemy,Saint Barthelemy
L.F. Wade International International Airport,BM,BM-U-A,Hamilton,BDA,Hamilton,Bermuda
Brunei International Airport,BN,BN-BM,Bandar Seri Begawan,BWN,Brunei-Muara,Brunei Darussalam
AlcantarÃ­ Airport,BO,BO-H,Yamparaez,SRE,Chuquisaca,"Bolivia, Plurinational State of"
Bermejo Airport,BO,BO-T,Bermejo,BJO,Tarija,"Bolivia, Plurinational State of"
Jorge Wilsterman International Airport,BO,BO-C,Cochabamba,CBB,Cochabamba,"Bolivia, Plurinational State of"
